hero_pool_week,map_name,Ana,Ashe,Baptiste,Bastion,Brigitte,D.Va,Doomfist,Echo,Genji,Hanzo,Junkrat,Lúcio,McCree,Mei,Mercy,Moira,Orisa,Pharah,Reaper,Reinhardt,Roadhog,Sigma,Soldier: 76,Sombra,Symmetra,Torbjörn,Tracer,Widowmaker,Winston,Wrecking Ball,Zarya,Zenyatta
May Melee - 2020,Blizzard World,0.29133799161776314,0.487707982764376,0.522856750041038,0.0,0.7244989381800225,0.4292630582134426,0.0006891885175274534,0.700617516564249,0.0,0.0008040900579435598,0.0,0.009763004856385295,0.08371385743111567,0.042723282843621084,0.03330274740954527,0.0004591790718608703,0.563619747187964,0.0,0.00034527377200648136,0.0034428743719230872,0.0,0.5668343513172908,0.0,0.0076959723144224435,0.0030982534288732846,0.022506466981471965,0.6334453812397453,0.016652734087125386,0.4227176014487585,0.014122367435372332,0.0,0.4177813888461554
May Melee - 2020,Busan,0.2065153083308463,0.3673422620854493,0.6317702286064233,0.0,0.5065611448639754,0.3103009879773107,0.002006456617437896,0.2854644188890282,0.0,0.0,0.0,0.19074068350366133,0.11997963659979688,0.11464112977696482,0.0,0.0932301854792663,0.6611963970156539,0.0,0.0841377039510252,0.17523120648430685,0.0,0.6385966409724398,0.040257951172000386,0.1578278152322164,0.007355374425354214,0.06125200553375603,0.6227749190733111,0.13696032661305893,0.1697292767285327,0.04200217017806545,0.0029433206587160467,0.3711824492314026
May Melee - 2020,Hanamura,0.3326919149701468,0.3797769832686722,0.5014698173282596,0.0004595515155393361,0.3877216024098807,0.4382158813291879,0.011783649473732413,0.3442669067180782,0.0,0.0,0.0,0.37730079678694955,0.039103243619846614,0.3708763375670758,0.07195189787678945,0.14548213299438015,0.5184605450560665,0.013321731467971528,0.13270259951175128,0.37126153801852063,0.0005358184920365052,0.5363733488645965,0.0,0.08855066200946624,0.036584151545323226,0.057782340528989826,0.25163218620737227,0.2731596565643202,0.07913709375790498,0.05601577446590796,0.0,0.1833818376512338
May Melee - 2020,Hollywood,0.4539681468280706,0.45246513053092746,0.48786445144956275,0.0,0.8740490579033278,0.534471334450214,0.0020814197726266026,0.7428580037023926,0.0,0.007828714806803175,0.0,0.004308295586537515,0.09262654041246345,0.040071263281478205,0.020896495628659126,0.0,0.3706749422148448,0.0,0.0,0.11790583252079079,0.0010053245351654794,0.39350617609037214,0.0,0.3273763022456627,0.0007890687465924239,0.11316889791322082,0.21858076769275853,0.0021538908729656003,0.5076861342621536,0.007611947758727136,0.06713830817838082,0.15891355261530268
May Melee - 2020,Ilios,0.9999999999985486,0.0,0.0,0.0,0.9952942828247834,0.9999999999985486,0.0,0.9896369021061985,0.0,0.0,0.0,0.004705717184407736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999992743,0.010363097919439842,0.0,0.4999999999992743,0.0,0.9406769784554764,0.059323021514047204,0.0,0.0
May Melee - 2020,Junkertown,0.24979472854140344,0.015157317179314667,0.47917705694270896,0.0,0.44799477245520775,0.35952830975667555,0.010406835015470541,0.31713708300854526,0.0,0.06320541395521802,0.0,0.26842463419830737,0.016071743010499767,0.32871255248986525,0.00015312889151480904,0.23246186099690333,0.6355775179408341,0.0,0.1299229698201843,0.1940602802422302,0.0018372287245738647,0.582165779451574,0.0,0.2070801513907259,0.008112532938938322,0.11648497079435739,0.49356872500898996,0.2941397054080682,0.20586503843504012,0.02096584540525695,0.0,0.3219938179975909
May Melee - 2020,King's Row,0.31372927096619024,0.3320566157604859,0.4576008370782666,0.0,0.42653298867522066,0.44140618712829915,0.03586609856778697,0.6853702161471885,0.0,0.00099106001568838,0.0,0.4375186851866512,0.10140727149358578,0.24165446681269034,0.00016516426444569205,0.15297213381326116,0.4539671381417912,0.0,0.3876866375731708,0.43528882997692386,0.0,0.4870263380290711,0.00024806933591827075,0.10983797385559517,0.002810143242107778,0.016943716090487518,0.002230456722219257,0.08289727444237208,0.10628293434468485,0.007437400847646795,0.06859117154146097,0.2114809199467893
May Melee - 2020,Lijiang Tower,0.33529931605778424,0.10384395717792105,0.4064686083909944,0.0,0.4107586038056108,0.25238274442914777,0.06858220261605465,0.3798582767117843,0.0,0.0,0.018891357368639197,0.6440568708372186,0.0800285442984751,0.28457029251364324,0.0,0.18871394478771034,0.34597969764869413,0.0,0.5336967829923989,0.7232462946797195,0.000651114825793877,0.22584287286208515,0.0,0.18696323534004647,0.20053520460756957,0.09137977069682214,0.05165037567314002,0.0,0.18081982595501497,0.0367579611838132,0.23431948841949235,0.014702656120426729
May Melee - 2020,Nepal,0.14236166723230723,0.4362303947521997,0.5353911514927426,0.0,0.09034087824947921,0.36545273847550774,0.00815206148381678,0.4190969930441431,0.0,0.0,0.0,0.6745056300561486,0.12052137359696458,0.3801495759093302,0.0,0.27805685120791074,0.5999761233424851,0.0,0.23875307501148574,0.6257509631889197,0.0,0.3432657136850147,0.04337907953289479,0.009787088684015923,0.12639490822381896,0.13257890780561643,0.053810619754487636,0.031145922203907224,0.0,0.060496966477685696,0.005057494845299934,0.27934382174381894
May Melee - 2020,Oasis,0.4313083472311805,0.18006017686390213,0.2549151436252521,0.0,0.694880308609447,0.6124958333578361,0.051867040050736835,0.7562074849285081,0.0,0.0,0.0,0.3998789391096391,0.09393585790087078,0.1208313483274172,0.0,0.17629723223104066,0.22246248031840135,0.0004892523677227699,0.3067604037523316,0.4078734475579641,0.0,0.17989545930177234,0.0,0.26808585655492195,0.011575843031050128,0.05364801973613612,0.15653871649170847,0.0,0.41125406934475284,0.010761406105775263,0.15525730402483598,0.04272002917679774
