match_id,game_number,map_name,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
10280,3,Watchpoint: Gibraltar,Los Angeles Gladiators,2018/02/22,San Francisco Shock,Los Angeles Gladiators,95.23061695840676,100.0,2018
10281,4,Route 66,London Spitfire,2018/02/23,London Spitfire,Houston Outlaws,100.0,71.05583984156448,2018
10282,4,Watchpoint: Gibraltar,New York Excelsior,2018/02/23,Florida Mayhem,New York Excelsior,57.91708464684996,100.0,2018
10283,4,Watchpoint: Gibraltar,Philadelphia Fusion,2018/02/23,Boston Uprising,Philadelphia Fusion,100.0,97.52571799947214,2018
10284,4,Watchpoint: Gibraltar,London Spitfire,2018/02/24,New York Excelsior,London Spitfire,72.62259656299305,100.0,2018
10285,4,Watchpoint: Gibraltar,Dallas Fuel,2018/02/24,Los Angeles Gladiators,Dallas Fuel,65.02196597757352,100.0,2018
10286,4,Watchpoint: Gibraltar,Seoul Dynasty,2018/02/24,Seoul Dynasty,San Francisco Shock,100.0,71.9428658139882,2018
10287,4,Watchpoint: Gibraltar,Philadelphia Fusion,2018/02/24,Florida Mayhem,Philadelphia Fusion,74.50017515678219,100.0,2018
10288,4,Watchpoint: Gibraltar,Houston Outlaws,2018/02/25,Houston Outlaws,Boston Uprising,100.0,55.235029574353675,2018
10289,4,Watchpoint: Gibraltar,Los Angeles Valiant,2018/02/25,Los Angeles Valiant,Shanghai Dragons,100.0,99.98528873459298,2018
10290,4,Route 66,Seoul Dynasty,2018/03/01,Dallas Fuel,Seoul Dynasty,96.13984366083567,100.0,2018
10291,4,Watchpoint: Gibraltar,Los Angeles Valiant,2018/03/01,Los Angeles Valiant,San Francisco Shock,100.0,99.99898234356753,2018
10292,4,Route 66,Los Angeles Gladiators,2018/03/01,Shanghai Dragons,Los Angeles Gladiators,57.09323754653216,100.0,2018
10293,4,Route 66,London Spitfire,2018/03/02,London Spitfire,Florida Mayhem,100.0,99.97974016590902,2018
10294,4,Route 66,Philadelphia Fusion,2018/03/02,Philadelphia Fusion,Houston Outlaws,100.0,76.74797741138657,2018
10295,4,Watchpoint: Gibraltar,New York Excelsior,2018/03/02,Boston Uprising,New York Excelsior,72.66535146972961,100.0,2018
10296,4,Route 66,Boston Uprising,2018/03/03,Florida Mayhem,Boston Uprising,71.10642753889552,100.0,2018
10297,4,Watchpoint: Gibraltar,Seoul Dynasty,2018/03/03,Seoul Dynasty,Los Angeles Gladiators,100.0,29.66776071760139,2018
10298,4,Watchpoint: Gibraltar,Dallas Fuel,2018/03/03,Los Angeles Valiant,Dallas Fuel,83.53484003763133,100.0,2018
10299,4,Route 66,London Spitfire,2018/03/03,London Spitfire,Philadelphia Fusion,100.0,72.75741639101932,2018
10300,4,Route 66,New York Excelsior,2018/03/04,New York Excelsior,Houston Outlaws,100.0,87.72742145508741,2018
10301,4,Watchpoint: Gibraltar,San Francisco Shock,2018/03/04,San Francisco Shock,Shanghai Dragons,100.0,99.9981607030671,2018
10302,4,Route 66,Seoul Dynasty,2018/03/08,Shanghai Dragons,Seoul Dynasty,89.51479656741765,100.0,2018
10303,4,Route 66,San Francisco Shock,2018/03/08,Dallas Fuel,San Francisco Shock,82.27337442099447,100.0,2018
10304,4,Watchpoint: Gibraltar,Los Angeles Gladiators,2018/03/08,Los Angeles Valiant,Los Angeles Gladiators,99.03199410905545,100.0,2018
10305,4,Watchpoint: Gibraltar,Seoul Dynasty,2018/03/09,Seoul Dynasty,Philadelphia Fusion,100.0,27.477552422317235,2018
10306,4,Route 66,Los Angeles Valiant,2018/03/09,Los Angeles Valiant,Houston Outlaws,100.0,84.33906419841108,2018
10307,4,Route 66,Boston Uprising,2018/03/09,Shanghai Dragons,Boston Uprising,57.535860157482986,100.0,2018
10308,4,Watchpoint: Gibraltar,London Spitfire,2018/03/10,Boston Uprising,London Spitfire,90.15429779324631,100.0,2018
10309,4,Route 66,Philadelphia Fusion,2018/03/10,New York Excelsior,Philadelphia Fusion,100.0,88.10806968658798,2018
10310,4,Watchpoint: Gibraltar,Houston Outlaws,2018/03/10,Houston Outlaws,Florida Mayhem,99.9982730997652,100.0,2018
10311,4,Route 66,London Spitfire,2018/03/10,Los Angeles Gladiators,London Spitfire,93.44254836407735,100.0,2018
10312,4,Route 66,New York Excelsior,2018/03/11,San Francisco Shock,New York Excelsior,65.01973881966396,100.0,2018
10313,4,Watchpoint: Gibraltar,Florida Mayhem,2018/03/11,Dallas Fuel,Florida Mayhem,99.32098640155466,100.0,2018
10314,4,Watchpoint: Gibraltar,Boston Uprising,2018/03/15,Dallas Fuel,Boston Uprising,74.27250209323057,100.0,2018
10315,4,Watchpoint: Gibraltar,New York Excelsior,2018/03/15,Seoul Dynasty,New York Excelsior,95.39368941971122,100.0,2018
10316,4,Route 66,Philadelphia Fusion,2018/03/15,Shanghai Dragons,Philadelphia Fusion,36.320024716217794,100.0,2018
10317,4,Route 66,New York Excelsior,2018/03/16,New York Excelsior,Shanghai Dragons,100.0,61.469009672358624,2018
10318,4,Route 66,Florida Mayhem,2018/03/16,Los Angeles Valiant,Florida Mayhem,95.6987725930014,100.0,2018
10319,4,Watchpoint: Gibraltar,Houston Outlaws,2018/03/16,Los Angeles Gladiators,Houston Outlaws,57.974918838117986,100.0,2018
10320,4,Route 66,Los Angeles Gladiators,2018/03/17,Florida Mayhem,Los Angeles Gladiators,100.0,89.36546457720512,2018
10321,4,Route 66,London Spitfire,2018/03/17,San Francisco Shock,London Spitfire,100.0,86.6394365724773,2018
10322,4,Route 66,Los Angeles Valiant,2018/03/17,Boston Uprising,Los Angeles Valiant,97.15834528920777,100.0,2018
10323,4,Watchpoint: Gibraltar,London Spitfire,2018/03/17,London Spitfire,Seoul Dynasty,100.0,72.25179029892661,2018
10324,4,Watchpoint: Gibraltar,San Francisco Shock,2018/03/17,Houston Outlaws,San Francisco Shock,84.84646956715805,100.0,2018
10325,4,Watchpoint: Gibraltar,Philadelphia Fusion,2018/03/18,Philadelphia Fusion,Dallas Fuel,100.0,66.82862597673254,2018
10333,4,Junkertown,Shanghai Dragons,2018/04/05,Dallas Fuel,Shanghai Dragons,100.0,90.4558951427881,2018
10334,4,Junkertown,Los Angeles Valiant,2018/04/05,Seoul Dynasty,Los Angeles Valiant,46.88179057541198,100.0,2018
10335,4,Junkertown,San Francisco Shock,2018/04/05,Los Angeles Gladiators,San Francisco Shock,78.83954600711897,100.0,2018
10336,4,Route 66,New York Excelsior,2018/04/06,New York Excelsior,Florida Mayhem,99.99416751111754,100.0,2018
10337,4,Route 66,Philadelphia Fusion,2018/04/06,Boston Uprising,Philadelphia Fusion,83.2525248860736,100.0,2018
10338,4,Route 66,London Spitfire,2018/04/06,Houston Outlaws,London Spitfire,70.5577719355052,100.0,2018
10339,4,Route 66,Dallas Fuel,2018/04/07,Los Angeles Gladiators,Dallas Fuel,99.42309235832946,100.0,2018
10340,4,Junkertown,Los Angeles Valiant,2018/04/07,Shanghai Dragons,Los Angeles Valiant,73.88069667560426,100.0,2018
10341,4,Junkertown,Seoul Dynasty,2018/04/07,Seoul Dynasty,San Francisco Shock,100.0,86.45759250061836,2018
10342,4,Route 66,Florida Mayhem,2018/04/07,Philadelphia Fusion,Florida Mayhem,92.21753012500078,100.0,2018
10343,4,Junkertown,Boston Uprising,2018/04/07,Boston Uprising,Houston Outlaws,100.0,99.16287969102412,2018
10344,4,Junkertown,New York Excelsior,2018/04/08,London Spitfire,New York Excelsior,49.75335123371143,100.0,2018
10345,4,Route 66,Los Angeles Gladiators,2018/04/12,Los Angeles Gladiators,Shanghai Dragons,100.0,85.26175428742293,2018
10346,4,Route 66,Los Angeles Valiant,2018/04/12,Los Angeles Valiant,San Francisco Shock,100.0,57.698804890160595,2018
10347,4,Route 66,Dallas Fuel,2018/04/12,Seoul Dynasty,Dallas Fuel,44.162400014338516,100.0,2018
10348,4,Junkertown,Boston Uprising,2018/04/13,New York Excelsior,Boston Uprising,94.48312944087421,100.0,2018
10349,4,Route 66,London Spitfire,2018/04/13,Florida Mayhem,London Spitfire,72.69858236436954,100.0,2018
10350,4,Junkertown,Houston Outlaws,2018/04/13,Houston Outlaws,Philadelphia Fusion,100.0,20.144040940162796,2018
10351,4,Route 66,Los Angeles Valiant,2018/04/14,Dallas Fuel,Los Angeles Valiant,78.28713233737166,100.0,2018
10352,4,Junkertown,San Francisco Shock,2018/04/14,Shanghai Dragons,San Francisco Shock,95.61180842908084,100.0,2018
10353,4,Junkertown,Seoul Dynasty,2018/04/14,Los Angeles Gladiators,Seoul Dynasty,100.0,75.03455181578363,2018
10354,4,Junkertown,London Spitfire,2018/04/14,Philadelphia Fusion,London Spitfire,75.01369263609216,100.0,2018
10355,4,Route 66,New York Excelsior,2018/04/15,Houston Outlaws,New York Excelsior,77.6125901470266,100.0,2018
10356,4,Junkertown,Florida Mayhem,2018/04/15,Boston Uprising,Florida Mayhem,98.2890875414953,100.0,2018
10357,4,Junkertown,Los Angeles Gladiators,2018/04/19,Los Angeles Valiant,Los Angeles Gladiators,48.22599662120622,100.0,2018
10358,4,Junkertown,San Francisco Shock,2018/04/19,San Francisco Shock,Dallas Fuel,100.0,60.320143700652075,2018
10359,4,Route 66,Seoul Dynasty,2018/04/19,Seoul Dynasty,Shanghai Dragons,100.0,73.87710759423273,2018
10360,4,Junkertown,Houston Outlaws,2018/04/20,Florida Mayhem,Houston Outlaws,44.23793124758888,100.0,2018
10361,4,Junkertown,Boston Uprising,2018/04/20,London Spitfire,Boston Uprising,100.0,79.11677217223072,2018
10362,4,Junkertown,New York Excelsior,2018/04/20,New York Excelsior,Philadelphia Fusion,100.0,99.9982643132156,2018
10363,4,Route 66,San Francisco Shock,2018/04/21,San Francisco Shock,Philadelphia Fusion,100.0,58.915505333031234,2018
10364,4,Route 66,Florida Mayhem,2018/04/21,Shanghai Dragons,Florida Mayhem,92.6495260250856,100.0,2018
