match_id,game_number,map_name,map_type,map_winner,match_date,team_one_name,team_two_name,team_one_score,team_two_score,season
37327,2,King's Row,Hybrid,Seoul Dynasty,2021/06/27,Hangzhou Spark,Seoul Dynasty,1.0139591449315881,1.1583628235502936,2021
37328,2,King's Row,Hybrid,New York Excelsior,2021/06/26,Guangzhou Charge,New York Excelsior,0.8118474063250402,1.0982857406258866,2021
37329,2,Hollywood,Hybrid,Seoul Dynasty,2021/06/26,Chengdu Hunters,Seoul Dynasty,0.8673174668604526,0.868412770877385,2021
37330,2,Eichenwalde,Hybrid,Hangzhou Spark,2021/06/26,Hangzhou Spark,Los Angeles Valiant,3.25375934601662,0.4993370873277585,2021
37355,3,Numbani,Hybrid,Atlanta Reign,2021/06/11,New York Excelsior,Atlanta Reign,1.0187024631503918,1.9421645552490918,2021
37356,3,Numbani,Hybrid,Dallas Fuel,2021/06/11,Shanghai Dragons,Dallas Fuel,0.8859159542002666,1.3923418769264668,2021
37357,3,Numbani,Hybrid,Dallas Fuel,2021/06/12,Atlanta Reign,Dallas Fuel,0.886515987961789,0.8913113892038327,2021
37358,3,Numbani,Hybrid,Shanghai Dragons,2021/06/13,Shanghai Dragons,Dallas Fuel,1.0202221016988626,0.6076157263776136,2021
37358,6,Eichenwalde,Hybrid,Shanghai Dragons,2021/06/13,Dallas Fuel,Shanghai Dragons,0.8591729833581664,0.8802584751855829,2021
37359,3,Numbani,Hybrid,Shanghai Dragons,2021/06/12,Atlanta Reign,Shanghai Dragons,0.8913526703947218,1.1511103795543969,2021
37360,3,Numbani,Hybrid,Shanghai Dragons,2021/06/12,New York Excelsior,Shanghai Dragons,0.8852913265034464,1.2344931532904493,2021
37377,3,King's Row,Hybrid,Florida Mayhem,2021/05/07,Florida Mayhem,Shanghai Dragons,2.629357407454518,0.6266690766781268,2021
37378,3,Blizzard World,Hybrid,Chengdu Hunters,2021/05/07,Chengdu Hunters,Dallas Fuel,0.7548597411256041,0.0,2021
37379,3,Blizzard World,Hybrid,Shanghai Dragons,2021/05/08,Shanghai Dragons,Dallas Fuel,0.976077591493861,0.6282972076790756,2021
37380,3,King's Row,Hybrid,Dallas Fuel,2021/05/09,Dallas Fuel,Shanghai Dragons,0.9127193739092028,0.8761958775029767,2021
37380,6,Blizzard World,Hybrid,Dallas Fuel,2021/05/09,Dallas Fuel,Shanghai Dragons,0.9840460889515201,0.6362707612503367,2021
37381,3,Blizzard World,Hybrid,Seoul Dynasty,2021/05/02,Seoul Dynasty,Chengdu Hunters,1.5565838170213866,0.0,2021
37382,3,Eichenwalde,Hybrid,Philadelphia Fusion,2021/05/02,Philadelphia Fusion,Shanghai Dragons,1.003740566940978,0.6559437247481719,2021
37391,3,King's Row,Hybrid,Shanghai Dragons,2021/05/08,Florida Mayhem,Shanghai Dragons,0.6569527211139914,0.874696209240208,2021
37392,3,Blizzard World,Hybrid,Chengdu Hunters,2021/05/08,Florida Mayhem,Chengdu Hunters,0.9293296182203526,0.9999439249952389,2021
37393,3,Hollywood,Hybrid,Shanghai Dragons,2021/06/06,Seoul Dynasty,Shanghai Dragons,0.0,0.908433158459079,2021
37394,3,Numbani,Hybrid,New York Excelsior,2021/06/06,New York Excelsior,Hangzhou Spark,1.9606718031582593,0.8108047857634157,2021
37401,3,Hollywood,Hybrid,Atlanta Reign,2021/06/07,San Francisco Shock,Atlanta Reign,0.9113106696959794,1.217326265945104,2021
37402,3,Hollywood,Hybrid,Los Angeles Gladiators,2021/06/06,Los Angeles Gladiators,Dallas Fuel,1.4880123967192334,0.0,2021
37403,3,Numbani,Hybrid,Atlanta Reign,2021/06/06,Atlanta Reign,Boston Uprising,1.018689693565422,1.2194001307941056,2021
37404,3,Eichenwalde,Hybrid,Dallas Fuel,2021/06/06,Houston Outlaws,Dallas Fuel,0.8422023357205751,1.424288250229578,2021
37405,3,Eichenwalde,Hybrid,Chengdu Hunters,2021/07/11,Seoul Dynasty,Chengdu Hunters,0.0,0.8884279919908319,2021
37406,3,King's Row,Hybrid,Shanghai Dragons,2021/07/11,New York Excelsior,Shanghai Dragons,1.014030507174594,1.7112442775419254,2021
37411,3,King's Row,Hybrid,Atlanta Reign,2021/07/12,Atlanta Reign,Los Angeles Gladiators,0.9791029611503357,0.0,2021
37412,3,King's Row,Hybrid,Dallas Fuel,2021/07/11,Washington Justice,Dallas Fuel,0.636795889625165,1.1268618577930454,2021
